序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
610,LI0000079,ece0a61d7bf2db8dafdb40983dc18677582d57d5659610da28270d23b8631030,Yes,病理检查,九院,健康问题与诊断,神经侵犯,NERVE_INVASION,描述肿瘤是否侵犯神经组织，如侵犯面神经、舌神经等。,Nerve Invasion,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0000956.01.01,九院,神经侵犯,,SI1112466,,,,,枚举,,,,,,0=否;1=是,否,,,,
614,LI0000080,db64b98d170d2fded82a074e3505e4c3bdcdb101bddb9fd690b98ad9903a898a,Yes,"手术记录,检查,病理检查",九院,健康问题与诊断,脉管侵犯,VASCULAR_INVASION,描述肿瘤是否侵犯血管或淋巴系统，如侵犯血管壁、淋巴管壁。,Vascular Invasion,,九院-头颈肿瘤-鳞癌,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0000957.01.01,九院;东肝,血管侵犯,,SI1112467,,,,,枚举,,,,,,0=否;1=是,否,,,,
618,LI0000081,76cda62a50e8b4efed3d58d7fe6ea7ccb12e4caba68fcc1468ff8e8fb513db10,Yes,病理检查,九院,健康问题与诊断,DOI,DOI,记录肿瘤浸润深度，通常以毫米为单位，反映肿瘤侵入组织的深度。,Depth of Invasion,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0000955.01.01,九院,浸润深度（DOI）,,SI1112465,,,,,枚举,,,,,,0=阴性（-）;1=阳性（+）;2=切缘过近或者不足,否,,,,
683,LI0000098,3017c5660a2fd383f0134dfc64d49fdbdf68af0223eb1fbb67d2f6343e5ba757,Yes,"入院记录,现病史","东肝,九院",健康问题与诊断,复发,RECURRENCE,是否经历了癌症复发的情况。,Recurrence,"肿瘤病灶性质, 肝癌复发",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0000935.01.01,九院,肿瘤原复发性质,,SI1112445,,,,,枚举,,,,,,0=阴性（-）;1=阳性（+）;9=不详,否,,,,
704,LI0000103,381ef09ef8cae52562ef9993db4932e74a675ca3aa68a4392aca99d055ba227f,Yes,"影像检查,入院记录","东肝,九院",检查与检测,辅助检查类型,ANC_EXAM_TYPE,为确诊或评估病情所做的各种医学检查的类型。,Ancillary Examination Type,影像检查类型,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000002.01.01,九院,免疫组化标志,,SI1112412,,,,,枚举,,,,,,1=左侧;2=右侧;3=不详,否,,,,
840,LI0000121,80dada8747fa596d301309e56510a84dc9e993be12b48f8ac504e8a05e44c29c,Yes,"影像检查,专科检查",九院,解剖与病理信息,阳性淋巴结描述,LN_POS_DESC,描述阳性淋巴结的具体特征，如中央液化、环形强化、不均匀强化、边缘不规则强化等。,Description of Positive Lymph Nodes,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000005.01.01,九院,送检淋巴结标志,,SI1112415,,,,,枚举,,,,,,0=否;1=是;9=不详,否,,,,
845,LI0000122,07d03ba3054ef5f732413cf871ced2f962b32ebb634ff222dc4d2c8738a0bbbf,Yes,"影像检查,专科检查",九院,解剖与病理信息,阳性淋巴结方位,LN_POS_LOC,描述阳性淋巴结的具体方位，如左/右等。,Location of Positive Lymph Nodes,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000006.01.01,九院,送检淋巴结方位,,SI1112416,,,,,枚举,,,,,,1=左侧;2=右侧;3=不详,否,,,,
851,LI0000123,4f0374e0739efb4d1f27a09a2ba399f90490b9f91fbc01d2ba7f44d317c939ac,Yes,"影像检查,专科检查",九院,解剖与病理信息,阳性淋巴结大小,LN_POS_SIZE,记录阳性淋巴结的最大直径或体积，通常以毫米为单位。,Size of Positive Lymph Nodes,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000008.01.01,九院,阳性淋巴结最大直径,,SI1112418,,,,,枚举,,,,,,1=口腔扁平苔藓;2=口腔黏膜下纤维性变;3=盘状红斑狼疮;4=上皮过角化;5=先天性角化不良;6=梅毒;7=艾滋病;8=白斑;9=红斑,否,,,,
857,LI0000125,1ef1cb46732a8e38636aeda0b927b05d0a85b0516e02cc3d8dbfa95b524bb2a8,Yes,病理检查,九院,解剖与病理信息,淋巴结清扫方位,LN_DISSEC_LOC,描述淋巴结清扫的具体方位，如左/右等。,Site of Lymph Node Dissection,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000006.01.01,九院,送检淋巴结方位,,SI1112416,,,,,枚举,,,,,,1=左侧;2=右侧;3=不详,否,,,,
863,LI0000126,fe64219278da0c082560acea76cf43de85bcbda819daa70a692e0ac0c9bbe1d7,Yes,病理检查,九院,解剖与病理信息,淋巴结数量,LN_REMOVED_COUNT,记录样本中淋巴结总数。,Total Number of Lymph Nodes Removed,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.06.00.0000386.01.01,中山七院,淋巴结送检总数,,SI1105471,,,,,整数,,4,,个,,,,,,,
864,LI0000127,65d939191243cba9e6d95c3feb229234fd9b3538e3d05a295c27c649b693defe,Yes,病理检查,九院,解剖与病理信息,颈清直径,NECK_DIAMETER,记录清扫淋巴结的最大直径，通常以厘米为单位。,Diameter of Neck Dissection (if used),,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000008.01.01,九院,阳性淋巴结最大直径,,SI1112418,,,,,枚举,,,,,,1=口腔扁平苔藓;2=口腔黏膜下纤维性变;3=盘状红斑狼疮;4=上皮过角化;5=先天性角化不良;6=梅毒;7=艾滋病;8=白斑;9=红斑,否,,,,
877,LI0000128,40531f162e1e7a93888d4cfef8a80ebd52dca8548f9969255dbc7083a4529d90,Yes,"影像检查,专科检查,病理诊断,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯部位,LN_INVOLVED_SITE,记录被癌症细胞侵袭的淋巴结数目。,Site of Lymph Node Involvement,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000009.01.01,九院,淋巴结转移包膜外ENE(+)标志,,SI1112419,,,,,枚举,,,,,,0=否;1=是;9=不详,否,,,,
927,LI0000130,ceb1c9945b5de4014e4b08b2de08f872c01b958366287da0586e30e7102f08cd,Yes,"影像检查,专科检查,检查","东肝,九院",解剖与病理信息,淋巴结转移部位,LN_METASTASIS_SITE,描述淋巴结转移的具体部位。,Site of Lymph Node Metastasis,阳性淋巴结区域,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000007.01.01,九院,送检淋巴结区域,,SI1112417,,,,,枚举,,,,,,1=I区;2=II区;3=III区;4=IV区;5=V区;6=不详,否,,,,
933,LI0000130,ceb1c9945b5de4014e4b08b2de08f872c01b958366287da0586e30e7102f08cd,Yes,"影像检查,专科检查,检查","东肝,九院",解剖与病理信息,淋巴结转移部位,LN_METASTASIS_SITE,描述淋巴结转移的具体部位。,Site of Lymph Node Metastasis,阳性淋巴结区域,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000005.01.01,九院,送检淋巴结标志,,SI1112415,,,,,枚举,,,,,,0=否;1=是;9=不详,否,,,,
950,LI0000132,d52ff747a61c3cfd9bc13121ec8538be61b5c923699f1e09e894170db9bbdd53,Yes,手术记录,"东肝,九院",解剖与病理信息,淋巴结清扫,LN_DISSECTION,手术中对淋巴结实施的操作，如：切除，清扫等,Lymph Node Dissection,移除处理,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001642.01.01,中山七院,淋巴结清扫,,SI1109838,,,,,文本,200,,,,,,,,,,
965,LI0000133,255911e1f5321aae36d35751ebe2f6f37384383e9114e366113fb345e5dd6d3c,Yes,"手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结清扫范围,LN_DISSEC_EXTENT,手术中清扫淋巴结的范围，如：胆囊旁、胆总管旁、肝动脉旁、肝总动脉旁、胰头后、胃左动脉、肝十二指肠韧带等,Extent of Lymph Node Dissection,"淋巴结清扫区域, 处理对象及所在部位",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000007.01.01,九院,送检淋巴结区域,,SI1112417,,,,,枚举,,,,,,1=I区;2=II区;3=III区;4=IV区;5=V区;6=不详,否,,,,
977,LI0000135,47808c96a359399b3fc6292bacfa4e220411d99b31661d1f094826d9b02f77f7,Yes,"影像检查,专科检查,病理诊断,病理检查","东肝,九院",解剖与病理信息,阳性淋巴结个数,LN_POS_COUNT,记录检测到的阳性淋巴结数量。,Number of Positive Lymph Nodes,"阳性LN数量,淋巴结转移阳性数",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.04.0000410.01.01,,淋巴结转移数量,,SI1110616,,,,,整数,,2,,,,,,,,,
1079,LI0000146,65bf87cac424376818d387ee260618d6969df2297ef4fc0e1dbab696d7e0f4d7,Yes,手术记录,九院,治疗与操作,术后患者去向,PPD,手术结束后患者的转移地点。可能包括重症监护室、普通病房、恢复室、直接出院等。,Postoperative Patient Disposition,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001305.01.01,中山七院,是否入ICU,,SI1108068,,,,,枚举,,,,,,是;否,否,,,,
1100,LI0000150,f89c067ff6a97084fd28b22f08a0a84e870c90261dda1155ab523d6bc1b2ae61,Yes,"入院记录,现病史,既往史,手术记录","东肝,九院,胸科",治疗与操作,手术名称,SURG_NAME,手术的具体操作名称，如“右肝肿瘤切除术”“经皮肝穿刺微波热凝肝癌损毁术”等。,Surgery Name,"手术治疗, 既往口腔病灶切除史, 既往颈淋巴结清扫史",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.03.10.0000005.01.01,九院,既往手术史,,SI1105442,,,,,文本,100,,,,,,,,,,
1165,LI0000151,03f007ffdd4ac9c36d9a662973eb7fdd2ea6a415159e68e25e295d3dd82f04cd,Yes,"入院记录,现病史,既往史","东肝,九院,胸科",治疗与操作,手术日期,SURG_DURATION,手术实施的具体日期和时间。,Duration of Surgery,"手术时间, 既往口腔病灶切除时间, 既往颈淋巴结清扫时间",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001058.01.01,中山七院,手术时间,,SI1106476,,,,,整数,,3,,分,,,,,,,
1183,LI0000152,d31dcf7fea1135ef0d38c226b85ddc2df686642b6da98d614d8a4310e412e205,Yes,手术记录,九院,治疗与操作,修复重建技术,RECON_TECH,在手术过程中使用的具体修复和重建技术。包括但不限于设计和制备各种类型的皮瓣、肌瓣、肌皮瓣等。,Reconstruction Technique,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001842.01.01,九院,是否有皮瓣修复,标识患者是否接受过皮瓣修复手术操作治疗,SI1112341,,,,,枚举,,,,,,0=否;1=是;9=不详,否,,,,
1185,LI0000153,911d82e3bbc3b58029e5e5cbc7bef036769b148f47e905214f75acec1142d62a,Yes,手术记录,九院,治疗与操作,材料大小,MAT_SIZE,用于修复缺损部位的皮瓣、肌肉岛等的大小，通常以毫米或厘米为单位。,Material Size,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001842.01.01,九院,是否有皮瓣修复,标识患者是否接受过皮瓣修复手术操作治疗,SI1112341,,,,,枚举,,,,,,0=否;1=是;9=不详,否,,,,
1187,LI0000154,1d68be087507cf8c9a45d2a51f27b26c7b7acf5c61c71094e224c5681ec45d96,Yes,手术记录,九院,治疗与操作,材料来源,MAT_SOURCE,皮瓣、肌肉岛等材料的来源部位或出处。选项包括自体组织、异体组织、合成材料、生物工程材料等。,Material Source,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001842.01.01,九院,是否有皮瓣修复,标识患者是否接受过皮瓣修复手术操作治疗,SI1112341,,,,,枚举,,,,,,0=否;1=是;9=不详,否,,,,
1189,LI0000155,9f4698e099ee38727c63ed3b3a1f685a0df58558aab520e2f3f2100e2885df0d,Yes,手术记录,九院,治疗与操作,修复重建部位,RECON_SITE,进行修复或重建的具体区域、部位。例如股骨远端、髋关节、主动脉根部等。,Reconstruction Site,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001842.01.01,九院,是否有皮瓣修复,标识患者是否接受过皮瓣修复手术操作治疗,SI1112341,,,,,枚举,,,,,,0=否;1=是;9=不详,否,,,,
1191,LI0000156,3854cebc8f7f65302a2cba730b3302ad5c4608686dd46859b8aeed5478fa05ac,Yes,手术记录,九院,治疗与操作,缺损大小,DEF_SIZE,缺损的尺寸，通常以厘米为单位测量最大直径或面积。例如“缺损面积约2x2厘米”。,Defect Size,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0001842.01.01,九院,是否有皮瓣修复,标识患者是否接受过皮瓣修复手术操作治疗,SI1112341,,,,,枚举,,,,,,0=否;1=是;9=不详,否,,,,
1251,LI0000165,1497f87ff4d6e3ce7e2c72f801fd01c8cc5d19281db9628f601f05e53f269d2b,Yes,手术记录,"东肝,九院",检查与检测,出血标志,BLEED_IND,表示是否有出血事件发生的标志。,Bleeding Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.11.00.0002079.01.01,九院,术中是否出血,,SI1113814,,,,,枚举,,,,,,0=否;1=是,否,,,,
1335,LI0000183,01893b347e63d28eafd13a6044a48af89ded5052ae7174a20c43ced3ad91aacc,Yes,"影像检查,专科检查,病理检查",九院,解剖与病理信息,淋巴结侵犯数目,NO_POSI_LN,指在手术切除或活检样本中，经病理学检查确认含有肿瘤细胞转移的淋巴结数量。,Number of Positive Lymph Nodes,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000009.01.01,九院,淋巴结转移包膜外ENE(+)标志,,SI1112419,,,,,枚举,,,,,,0=否;1=是;9=不详,否,,,,
1349,LI0000195,8757d8789744a3d86ba3ea64ab58dbaf5bde8b3a86a39358223f7ea7c6e0df75,Yes,"日常病程,物理检查,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,主要病变,PRIMARY_LESION,描述探查中发现的主要病变,Primary Lesion,解剖学部位、主要病灶、病灶类型,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.09.00.0000426.01.01,UDE,病理诊断,,SI1120503,,,,,文本,11,,,,,,,,,,
