序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,标签类型,所属实体标签（仅属性标签填写）,属性列表,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,项目名称
268,LI0000131,4f0d9b4f1105b93bc135c6d0d8ba861ec661f93de132eed84875eab38caa7c2a,Yes,"影像检查,专科检查,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯标志,LN_INVOLVEMENT_IND,属性标签,淋巴结清扫范围,,标识手术记录中是否发现了淋巴结侵犯,Lymph Node Involvement Indicator,,,,,【更新】九院实践-口腔癌-病理检查
269,LI0000131,4f0d9b4f1105b93bc135c6d0d8ba861ec661f93de132eed84875eab38caa7c2a,Yes,"影像检查,专科检查,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯标志,LN_INVOLVEMENT_IND,属性标签,淋巴结转移部位,,标识手术记录中是否发现了淋巴结侵犯,Lymph Node Involvement Indicator,,,,,【更新】九院实践-口腔癌-影像检查
270,LI0000131,4f0d9b4f1105b93bc135c6d0d8ba861ec661f93de132eed84875eab38caa7c2a,Yes,"影像检查,专科检查,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯标志,LN_INVOLVEMENT_IND,属性标签,淋巴结转移部位,,标识手术记录中是否发现了淋巴结侵犯,Lymph Node Involvement Indicator,,,,,【更新】九院实践-口腔癌-专科检查
272,LI0000132,d52ff747a61c3cfd9bc13121ec8538be61b5c923699f1e09e894170db9bbdd53,Yes,手术记录,"东肝,九院",解剖与病理信息,淋巴结清扫,LN_DISSECTION,实体标签,,淋巴结清扫范围:LN_DISSEC_EXTENT,手术中对淋巴结实施的操作，如：切除，清扫等,Lymph Node Dissection,移除处理,,,,【更新】九院实践-口腔癌-手术记录
274,LI0000133,255911e1f5321aae36d35751ebe2f6f37384383e9114e366113fb345e5dd6d3c,Yes,"手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结清扫范围,LN_DISSEC_EXTENT,实体标签,,淋巴结清扫方位:LN_DISSEC_LOC;淋巴结数量:LN_REMOVED_COUNT;颈清直径:NECK_DIAMETER;阳性淋巴结个数:LN_POS_COUNT;淋巴结侵犯标志:LN_INVOLVEMENT_IND;淋巴结侵犯部位:LN_INVOLVED_SITE;淋巴结侵犯数目:NO_POSI_LN,手术中清扫淋巴结的范围，如：胆囊旁、胆总管旁、肝动脉旁、肝总动脉旁、胰头后、胃左动脉、肝十二指肠韧带等,Extent of Lymph Node Dissection,"淋巴结清扫区域, 处理对象及所在部位",,,,【更新】九院实践-口腔癌-病理检查
277,LI0000133,255911e1f5321aae36d35751ebe2f6f37384383e9114e366113fb345e5dd6d3c,Yes,"手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结清扫范围,LN_DISSEC_EXTENT,属性标签,淋巴结清扫,,手术中清扫淋巴结的范围，如：胆囊旁、胆总管旁、肝动脉旁、肝总动脉旁、胰头后、胃左动脉、肝十二指肠韧带等,Extent of Lymph Node Dissection,"淋巴结清扫区域, 处理对象及所在部位",,,,【更新】九院实践-口腔癌-手术记录
280,LI0000135,47808c96a359399b3fc6292bacfa4e220411d99b31661d1f094826d9b02f77f7,Yes,"影像检查,专科检查,病理诊断,病理检查","东肝,九院",解剖与病理信息,阳性淋巴结个数,LN_POS_COUNT,属性标签,淋巴结清扫范围,,记录检测到的阳性淋巴结数量。,Number of Positive Lymph Nodes,"阳性LN数量,淋巴结转移阳性数",,,,【更新】九院实践-口腔癌-病理检查
281,LI0000135,47808c96a359399b3fc6292bacfa4e220411d99b31661d1f094826d9b02f77f7,Yes,"影像检查,专科检查,病理诊断,病理检查","东肝,九院",解剖与病理信息,阳性淋巴结个数,LN_POS_COUNT,属性标签,淋巴结转移部位,,记录检测到的阳性淋巴结数量。,Number of Positive Lymph Nodes,"阳性LN数量,淋巴结转移阳性数",,,,【更新】九院实践-口腔癌-影像检查
282,LI0000135,47808c96a359399b3fc6292bacfa4e220411d99b31661d1f094826d9b02f77f7,Yes,"影像检查,专科检查,病理诊断,病理检查","东肝,九院",解剖与病理信息,阳性淋巴结个数,LN_POS_COUNT,属性标签,淋巴结转移部位,,记录检测到的阳性淋巴结数量。,Number of Positive Lymph Nodes,"阳性LN数量,淋巴结转移阳性数",,,,【更新】九院实践-口腔癌-专科检查
300,LI0000146,65bf87cac424376818d387ee260618d6969df2297ef4fc0e1dbab696d7e0f4d7,Yes,手术记录,九院,治疗与操作,术后患者去向,PPD,实体标签,,,手术结束后患者的转移地点。可能包括重症监护室、普通病房、恢复室、直接出院等。,Postoperative Patient Disposition,,,,,【更新】九院实践-口腔癌-手术记录
305,LI0000150,f89c067ff6a97084fd28b22f08a0a84e870c90261dda1155ab523d6bc1b2ae61,Yes,"入院记录,现病史,既往史,手术记录","东肝,九院,胸科",治疗与操作,手术名称,SURG_NAME,实体标签,,手术日期:SURG_DURATION,手术的具体操作名称，如“右肝肿瘤切除术”“经皮肝穿刺微波热凝肝癌损毁术”等。,Surgery Name,"手术治疗, 既往口腔病灶切除史, 既往颈淋巴结清扫史",,,,【更新】九院实践-口腔癌-现病史
309,LI0000150,f89c067ff6a97084fd28b22f08a0a84e870c90261dda1155ab523d6bc1b2ae61,Yes,"入院记录,现病史,既往史,手术记录","东肝,九院,胸科",治疗与操作,手术名称,SURG_NAME,实体标签,,,手术的具体操作名称，如“右肝肿瘤切除术”“经皮肝穿刺微波热凝肝癌损毁术”等。,Surgery Name,"手术治疗, 既往口腔病灶切除史, 既往颈淋巴结清扫史",,,,【更新】九院实践-口腔癌-手术记录
313,LI0000151,03f007ffdd4ac9c36d9a662973eb7fdd2ea6a415159e68e25e295d3dd82f04cd,Yes,"入院记录,现病史,既往史","东肝,九院,胸科",治疗与操作,手术日期,SURG_DURATION,属性标签,手术史,,手术实施的具体日期和时间。,Duration of Surgery,"手术时间, 既往口腔病灶切除时间, 既往颈淋巴结清扫时间",,,,【更新】九院实践-口腔癌-现病史
314,LI0000151,03f007ffdd4ac9c36d9a662973eb7fdd2ea6a415159e68e25e295d3dd82f04cd,Yes,"入院记录,现病史,既往史","东肝,九院,胸科",治疗与操作,手术日期,SURG_DURATION,属性标签,手术名称,,手术实施的具体日期和时间。,Duration of Surgery,"手术时间, 既往口腔病灶切除时间, 既往颈淋巴结清扫时间",,,,【更新】九院实践-口腔癌-现病史
319,LI0000152,d31dcf7fea1135ef0d38c226b85ddc2df686642b6da98d614d8a4310e412e205,Yes,手术记录,九院,治疗与操作,修复重建技术,RECON_TECH,实体标签,,材料大小:MAT_SIZE;材料来源:MAT_SOURCE;修复重建部位:RECON_SITE;缺损大小:DEF_SIZE,在手术过程中使用的具体修复和重建技术。包括但不限于设计和制备各种类型的皮瓣、肌瓣、肌皮瓣等。,Reconstruction Technique,,,,,【更新】九院实践-口腔癌-手术记录
321,LI0000153,911d82e3bbc3b58029e5e5cbc7bef036769b148f47e905214f75acec1142d62a,Yes,手术记录,九院,治疗与操作,材料大小,MAT_SIZE,属性标签,修复重建技术,,用于修复缺损部位的皮瓣、肌肉岛等的大小，通常以毫米或厘米为单位。,Material Size,,,,,【更新】九院实践-口腔癌-手术记录
323,LI0000154,1d68be087507cf8c9a45d2a51f27b26c7b7acf5c61c71094e224c5681ec45d96,Yes,手术记录,九院,治疗与操作,材料来源,MAT_SOURCE,属性标签,修复重建技术,,皮瓣、肌肉岛等材料的来源部位或出处。选项包括自体组织、异体组织、合成材料、生物工程材料等。,Material Source,,,,,【更新】九院实践-口腔癌-手术记录
325,LI0000155,9f4698e099ee38727c63ed3b3a1f685a0df58558aab520e2f3f2100e2885df0d,Yes,手术记录,九院,治疗与操作,修复重建部位,RECON_SITE,属性标签,修复重建技术,,进行修复或重建的具体区域、部位。例如股骨远端、髋关节、主动脉根部等。,Reconstruction Site,,,,,【更新】九院实践-口腔癌-手术记录
327,LI0000156,3854cebc8f7f65302a2cba730b3302ad5c4608686dd46859b8aeed5478fa05ac,Yes,手术记录,九院,治疗与操作,缺损大小,DEF_SIZE,属性标签,修复重建技术,,缺损的尺寸，通常以厘米为单位测量最大直径或面积。例如“缺损面积约2x2厘米”。,Defect Size,,,,,【更新】九院实践-口腔癌-手术记录
339,LI0000165,1497f87ff4d6e3ce7e2c72f801fd01c8cc5d19281db9628f601f05e53f269d2b,Yes,手术记录,"东肝,九院",检查与检测,出血标志,BLEED_IND,实体标签,,出血量:BLEED_VOLUME,表示是否有出血事件发生的标志。,Bleeding Indicator,,,,,【更新】九院实践-口腔癌-手术记录
342,LI0000166,febd8c41743e1b9d9093753545d267ad9ef4984e307430b2cce9c7a3e9d6e84e,Yes,手术记录,"东肝,九院",检查与检测,出血量,BLEED_VOLUME,属性标签,出血标志,,描述出血的量，通常需要指定单位（如毫升）。,Volume of Bleeding,,,,,【更新】九院实践-口腔癌-手术记录
364,LI0000183,01893b347e63d28eafd13a6044a48af89ded5052ae7174a20c43ced3ad91aacc,Yes,"影像检查,专科检查,病理检查",九院,解剖与病理信息,淋巴结侵犯数目,NO_POSI_LN,属性标签,淋巴结清扫范围,,指在手术切除或活检样本中，经病理学检查确认含有肿瘤细胞转移的淋巴结数量。,Number of Positive Lymph Nodes,,,,,【更新】九院实践-口腔癌-病理检查
