序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,标签类型,所属实体标签（仅属性标签填写）,属性列表,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,项目名称
38,LI0000014,0fa0141544be4d5b89acd174b60ad26a53e485aab3f6413783c904128cddef2d,Yes,病理检查,东肝,解剖与病理信息,病理学分型,PATH_CLASS,实体标签,,组织学分型:HISTO_CLASS;细胞学类型:CYTO_TYPE;分化信息:DIFF_INFO;AJCC分期:AJCC_STAGE;病变部位:LESION_LOC;癌细胞形状:CELL_SHAPE,肿瘤的病理学类型（如肝细胞癌、胆管癌、混合型肝癌等）。,Pathological Classification,病理类型,,,,【更新】东肝实践-肝癌-病理诊断
43,LI0000015,21e24dffd3ae9e0d474fc9ba9b08675fd4e895e10bb22948dd898317a6471194,Yes,"病理,病理诊断,诊断,现病史","东肝,胸科",解剖与病理信息,组织学分型,HISTO_CLASS,属性标签,病理学分型,,肝癌的组织学形态，常见有细梁型、粗梁型、假腺管型和团片型等,Histological Classification,"组织学类型,病理组织学分类",东肝-肝癌,,,【更新】东肝实践-肝癌-病理诊断
44,LI0000016,14335afd0685749c7f55509798c98bfb7921abcf66d6b60097d92fb383c996d7,Yes,病理诊断,东肝,解剖与病理信息,细胞学类型,CYTO_TYPE,属性标签,病理学分型,,癌症的细胞学形态的分类,Cytological Type,,,,,【更新】东肝实践-肝癌-病理诊断
45,LI0000017,d79652fe06ab4fda1e2c3a68bc9cff9b0488cbd90618d873fc1446a304cd8fd3,Yes,病理诊断,东肝,解剖与病理信息,癌细胞形状,CELL_SHAPE,属性标签,病理学分型,,描述癌细胞的形状特征，如类圆形、不规则形等。,Cancer Cell Shape,,东肝-肝癌,,,【更新】东肝实践-肝癌-病理诊断
46,LI0000018,0d7746522b5a78fa4cc45bc155873d9c576e472fa9f97d91a625d65bcf1d015a,Yes,"日常病程,病理诊断,入院记录,手术记录,检查",东肝,解剖与病理信息,病变数量,LESION_COUNT,属性标签,主要病变,,说明肿瘤或病变区域的数量。,Number of Lesions,病灶数目,,,,【更新】东肝实践-肝癌-病理诊断
47,LI0000018,0d7746522b5a78fa4cc45bc155873d9c576e472fa9f97d91a625d65bcf1d015a,Yes,"日常病程,病理诊断,入院记录,手术记录,检查",东肝,解剖与病理信息,病变数量,LESION_COUNT,属性标签,主要病变,,说明肿瘤或病变区域的数量。,Number of Lesions,病灶数目,,,,【更新】东肝实践-肝癌-检查
48,LI0000018,0d7746522b5a78fa4cc45bc155873d9c576e472fa9f97d91a625d65bcf1d015a,Yes,"日常病程,病理诊断,入院记录,手术记录,检查",东肝,解剖与病理信息,病变数量,LESION_COUNT,属性标签,辅助检查类型,,说明肿瘤或病变区域的数量。,Number of Lesions,病灶数目,,,,【脱敏更新】东肝实践-肝癌-入院记录
49,LI0000018,0d7746522b5a78fa4cc45bc155873d9c576e472fa9f97d91a625d65bcf1d015a,Yes,"日常病程,病理诊断,入院记录,手术记录,检查",东肝,解剖与病理信息,病变数量,LESION_COUNT,属性标签,主要病变,,说明肿瘤或病变区域的数量。,Number of Lesions,病灶数目,,,,【脱敏更新】东肝实践-肝癌-日常病程
50,LI0000018,0d7746522b5a78fa4cc45bc155873d9c576e472fa9f97d91a625d65bcf1d015a,Yes,"日常病程,病理诊断,入院记录,手术记录,检查",东肝,解剖与病理信息,病变数量,LESION_COUNT,属性标签,主要病变,,说明肿瘤或病变区域的数量。,Number of Lesions,病灶数目,,,,【脱敏更新】东肝实践-肝癌-手术记录
54,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,属性标签,主要病变,,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,【更新】东肝实践-肝癌-病理诊断
55,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,属性标签,主要病变,,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,【更新】东肝实践-肝癌-检查
60,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,属性标签,辅助检查类型,,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,【脱敏更新】东肝实践-肝癌-入院记录
61,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,属性标签,主要病变,,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,【脱敏更新】东肝实践-肝癌-手术记录
69,LI0000020,120603302fb4a83807bdd1819f862f8c981a1acb453d993def9ea76987c8b92f,Yes,"病理,病理诊断,诊断,现病史,病理检查","东肝,九院,胸科",解剖与病理信息,分化信息,DIFF_INFO,属性标签,病理学分型,,肿瘤细胞的分化程度（高分化、中分化、低分化、未分化），反映恶性程度。,Differentiation Information,分化程度,,,,【更新】东肝实践-肝癌-病理诊断
75,LI0000021,a3664a50007965197907a9ba512f5eb3a1ac5a3e39b20389a113739a73a53c23,Yes,"病理,病理诊断,诊断,现病史","东肝,胸科",解剖与病理信息,AJCC分期,AJCC_STAGE,属性标签,病理学分型,,病理诊断原发性肝癌美国癌症联合委员会分期的详细描述,AJCC Staging,临床分期,,,,【更新】东肝实践-肝癌-病理诊断
105,LI0000038,9a374298a7c3a7aa95052f4abc6055bc536bda057d12e567b8259ba341bd108f,Yes,入院记录,东肝,治疗与操作,治疗开始时间,TREAT_START_TIME,属性标签,药品名称,,特定治疗方案启动的时间点。,Treatment Start Time,,,,,【脱敏更新】东肝实践-肝癌-入院记录
106,LI0000039,3f3a0885dad08f08ac1640ddcc706d44f7881e0ce832f35dacf8593eb3fe881e,Yes,入院记录,东肝,治疗与操作,治疗停止时间,TREAT_END_TIME,属性标签,药品名称,,特定治疗方案结束的时间点。,Treatment End Time,,,,,【脱敏更新】东肝实践-肝癌-入院记录
107,LI0000040,ef6b38103a9710cfe8560be5b4b7990848d2bf043bb14032aee720afc1414af2,Yes,入院记录,东肝,治疗与操作,术前操作治疗,PRE_TREATMENT,实体标签,,,手术之前采用的治疗方法。,Preoperative Treatment Methods,术前治疗方式,东肝-肝癌,,,【脱敏更新】东肝实践-肝癌-入院记录
114,LI0000044,4bf5c7a865d87596abf1bd8b9bf65deb7fcde1256230c1118f89a75cf4148848,Yes,入院记录,东肝,分段,输血史,HBT,实体标签,,,记录是否曾经接受过输血及其相关信息。,History of Blood Transfusion,,,,,【脱敏更新】东肝实践-肝癌-入院记录
115,LI0000045,b3f72398b3e149941281e69f16d0abbc808701a931f608277298450fa336f3d6,Yes,入院记录,东肝,分段,主诉,CC,实体标签,,,患者前来就医时的主要不适或问题。,Chief Complaint,,,,,【脱敏更新】东肝实践-肝癌-入院记录
117,LI0000046,0bad1a820ef7ee7fd67336dbfaf9e577de42c9e9aa857566f8bf64ed58308d5e,Yes,"入院记录,个人史","东肝,九院",分段,吸烟史,SMK_HIST,实体标签,,,过去和现在的吸烟习惯总览。,Smoking History,,,,,【脱敏更新】东肝实践-肝癌-入院记录
119,LI0000047,49224617c75f2d5f4391e1004c72fbce9dfbd709f37674b865319e3d100f05a0,Yes,"入院记录,现病史","东肝,九院",分段,手术史,SURG_HIST,实体标签,,手术日期:SURG_DURATION,以前是否进行过任何手术及其相关信息。,Surgical History,,,,,【脱敏更新】东肝实践-肝癌-入院记录
120,LI0000048,618bb3f038a720a2bfb331b0de7248a09f4483c8c3119f9822edd3a45f7bf03d,Yes,日常病程,东肝,分段,文书标题,DOC_TITLE,实体标签,,,电子病历日常病程文书的标题，含治疗操作记录、查房记录、术后首次病程等,Document Title,,,,,【脱敏更新】东肝实践-肝癌-日常病程
122,LI0000050,fdf60ba332415b31ec8d220122c39c970b7af49f557a4d6067df843ad7149c28,Yes,病理检查,东肝,检查与检测,染色项目及结果,STAIN_PANEL,实体标签,,,用于诊断的各种特殊染色的结果，如Masson、AB、网染等。,Staining Panel ,,,,,【更新】东肝实践-肝癌-病理诊断
123,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,实体标签,,,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,【更新】东肝实践-肝癌-病理诊断
153,LI0000063,3c863179ca21831f83d49fbb46fef4754b80e80c356250a162d8b866769ddbe9,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,吸烟量,SMK_QUANTITY,属性标签,吸烟标志,,个人每天平均吸烟的数量，通常用“支/天”来表示。,Smoking Quantity (per day),吸烟频率,,,,【脱敏更新】东肝实践-肝癌-入院记录
155,LI0000064,d02c14f30645c06faedf443e342304484aa1039c5bde283973f85a6d97bfade4,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,戒烟标志,QUIT_SMK_IND,实体标签,,,标记个人是否已经停止吸烟，是一个布尔值（是/否）。,Smoking Cessation Indicator,,,,,【脱敏更新】东肝实践-肝癌-入院记录
167,LI0000067,4a6b66464711eeeaef358fb0d14469b380163a1184a61b39cc27917b11330279,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,饮酒量,ALCOHOL_QUANTITY,属性标签,饮酒标志,,个人平均每周或每月饮酒的数量，可以按照标准饮品单位来衡量。,Alcohol Consumption Level,,,,,【脱敏更新】东肝实践-肝癌-入院记录
169,LI0000068,57d7c88ca9b001d9a6384a937425ade42c15785c486916483824a0eb8c68c0bf,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,戒酒标志,QUIT_ALC_IND,实体标签,,,标记个人是否已经停止饮酒，是一个布尔值（是/否）。,Alcohol Cessation Indicator,,,,,【脱敏更新】东肝实践-肝癌-入院记录
182,LI0000071,f34485a74a73dad236274f48bfc69bc0460225bcd24258b5ea32969bbef794d8,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,饮酒标志,ALC_STAT,实体标签,,饮酒量:ALCOHOL_QUANTITY;饮酒时长:ALCOHOL_DURA;饮酒类型:ALC_TYPE,描述个人是否饮酒的状态。,Alcohol Status,"饮酒情况, 饮酒史",,,,【脱敏更新】东肝实践-肝癌-入院记录
184,LI0000072,5d2934485cec6b277ef6aad640acc84fd2048e6f75c31ade143bef3f93fb1806,Yes,入院记录,东肝,个人基本信息,饮酒类型,ALC_TYPE,属性标签,饮酒标志,,饮用的主要酒类种类（如啤酒、白酒等）。,Type of Alcohol Consumed,饮酒史,,,,【脱敏更新】东肝实践-肝癌-入院记录
188,LI0000074,0c68633db6e10248756c6edb0df0e2dbf47319573f3fcc849eb0f800e7545a36,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,吸烟标志,SSMK_STAT,实体标签,,吸烟量:SMK_QUANTITY,描述个人是否吸烟的状态，如从不吸烟者、现在吸烟者、曾经吸烟者等。,Smoking Status,吸烟情况,,,,【脱敏更新】东肝实践-肝癌-入院记录
192,LI0000077,e79712fd7b98651a45376163a058a009676827f2b4cb015364fe0f861c47581c,Yes,"病理,病理诊断,诊断,病理检查","东肝,九院,胸科",健康问题与诊断,切缘情况,MARGIN_STATUS,实体标签,,切缘距离:MARGIN_DISTANCE,描述手术切除边缘的状态，包括是否含有癌细胞。,Margin Status,"切缘,切缘描述",,,,【更新】东肝实践-肝癌-病理诊断
197,LI0000082,2ac4d938222d5c00f83d56888059397b8dbcd06d7a5da45c72ab3f35650d7879,Yes,病理诊断,东肝,健康问题与诊断,卫星结节,SAT_NODULES,属性标签,主要病变,,描述是否存在卫星结节或肝内转移灶（如微血管侵犯外的独立病灶）。,Satellite Nodules,,,,,【更新】东肝实践-肝癌-病理诊断
198,LI0000083,65b72a2e9a83cc839cd8a9a733f58a06c4a408ea1476176984f6c8b3e1c93ea0,Yes,病理诊断,东肝,健康问题与诊断,是否多灶性生长,MULTIFOCAL_GROWTH,属性标签,主要病变,,肿瘤周围是否存在多个微小癌灶（是/否），提示侵袭性生物学行为。,Multifocal Growth,,,,,【更新】东肝实践-肝癌-病理诊断
199,LI0000084,cd5fc685644c637f42492c5632b78de011432536fca547306349647272f7e45e,Yes,病理诊断,东肝,健康问题与诊断,包膜是否完整,CAPSULE_INTEGRITY,属性标签,主要病变,,记录肿瘤是否形成完整包膜（完整/不完整/无包膜），完整包膜提示局限性生长。,Capsule Integrity,,,,,【更新】东肝实践-肝癌-病理诊断
200,LI0000085,521ff5d6f15e84b72112b217c44f5f47b62bf77b2f7bbfcb2f705d3d4a623ed7,Yes,病理诊断,东肝,健康问题与诊断,是否浸润性生长,INVASIVE_GROWTH,属性标签,主要病变,,判断癌细胞是否侵犯周边组织。,Invasive Growth,,,,,【更新】东肝实践-肝癌-病理诊断
201,LI0000086,403207f8ad4707ca2b1d6981d1b1008148550e3fd0f6f9ecb0fa1851426e5a9f,Yes,病理诊断,东肝,健康问题与诊断,卫星灶情况,SAT_LESION_STATUS,属性标签,主要病变,,描述肝内是否存在与原发灶分离的微小卫星病灶,Satellite Lesion Status,,,,,【更新】东肝实践-肝癌-病理诊断
202,LI0000087,66f9bec4def68ee7b00fd534172ec68dbc5baf5ec8ceddc56f59e79d61e714f8,Yes,病理诊断,东肝,健康问题与诊断,微血管侵犯标志,MVI_IND,实体标签,,MVI分级:MVI_GRADE;侵犯数量:INV_COUNT;侵犯部位/类型:INV_SITES,显示癌细胞是否侵入微小血管。,Microvascular Invasion Indicator,,,,,【更新】东肝实践-肝癌-病理诊断
203,LI0000088,df3db06fec7322c2b7196d35033304f75bdc6094350f06705a5d4924d6886f61,Yes,病理诊断,东肝,健康问题与诊断,MVI分级,MVI_GRADE,属性标签,微血管侵犯标志,,微血管侵犯的程度分级。,Microvascular Invasion Grading,,,,,【更新】东肝实践-肝癌-病理诊断
204,LI0000089,addcf0e8dc677bfff5966350f369d2a64bc5d7e020991e85d9be32a07a7f7512,Yes,病理诊断,东肝,健康问题与诊断,侵犯数量,INV_COUNT,属性标签,微血管侵犯标志,,微血管侵犯的数量。,Number of Invasions,,东肝-肝癌,,,【更新】东肝实践-肝癌-病理诊断
205,LI0000092,c7849a7c295871a60cb65e34cb1b1af400ef62b179990d17120b3217cf09c66f,Yes,病理诊断,东肝,健康问题与诊断,切缘距离,MARGIN_DISTANCE,属性标签,切缘情况,,测量最近的癌细胞到手术切除边缘的距离。,Margin Distance,,东肝-肝癌,,,【更新】东肝实践-肝癌-病理诊断
206,LI0000093,5f225e2064536d47b370b768a08788b245a935321cc105efafca4f66686eb396,Yes,手术记录,东肝,健康问题与诊断,胆管癌栓标志,BDCT_IND,实体标签,,胆管分支:BD_BRANCHES,标识是否存在胆管癌栓。,Bile Duct Carcinoma Thrombus Indicator,,,,,【脱敏更新】东肝实践-肝癌-手术记录
207,LI0000097,336129192e83d17160e8a718d17049984ce12acd3ee8c0662f0250ab218ab7b0,Yes,"手术记录,检查",东肝,健康问题与诊断,血管癌栓标志,VCT_IND,实体标签,,血管部位:VASC_LOC;血管分支:VASC_BRANCHES,标识是否存在血管癌栓。,Vascular Carcinoma Thrombus Indicator,,,,,【更新】东肝实践-肝癌-检查
208,LI0000097,336129192e83d17160e8a718d17049984ce12acd3ee8c0662f0250ab218ab7b0,Yes,"手术记录,检查",东肝,健康问题与诊断,血管癌栓标志,VCT_IND,实体标签,,血管部位:VASC_LOC;血管分支:VASC_BRANCHES;癌栓处理方式:CT_MANAGE,标识是否存在血管癌栓。,Vascular Carcinoma Thrombus Indicator,,,,,【脱敏更新】东肝实践-肝癌-手术记录
210,LI0000098,3017c5660a2fd383f0134dfc64d49fdbdf68af0223eb1fbb67d2f6343e5ba757,Yes,"入院记录,现病史","东肝,九院",健康问题与诊断,复发,RECURRENCE,实体标签,,复发来源:REC_ORIGIN;复发时间:TTR,是否经历了癌症复发的情况。,Recurrence,"肿瘤病灶性质, 肝癌复发",,,,【脱敏更新】东肝实践-肝癌-入院记录
211,LI0000100,09d153e3ddc6daa77365893c80486677989649ea1fe3105ac240472a597678ee,Yes,入院记录,东肝,健康问题与诊断,复发来源,REC_ORIGIN,属性标签,复发,,复发的癌症是原发灶还是转移而来的。,Recurrence Origin,肝癌复发来源,,,,【脱敏更新】东肝实践-肝癌-入院记录
212,LI0000102,33cd90ed1a438eb02c93457941ea8b0d8809ae10c4ce3d53f35a8f59fea5a90f,Yes,日常病程,东肝,健康问题与诊断,并发症治疗方式,COMP_TREATMENT,属性标签,并发症,,描述对患者实施的并发症治疗具体方式及内容,Complication Treatment Methods,,,,,【脱敏更新】东肝实践-肝癌-日常病程
214,LI0000103,381ef09ef8cae52562ef9993db4932e74a675ca3aa68a4392aca99d055ba227f,Yes,"影像检查,入院记录","东肝,九院",检查与检测,辅助检查类型,ANC_EXAM_TYPE,实体标签,,检查日期:EXAM_DATE;辅助检查结果:ANC_EXAM_RESULT;病变数量:LESION_COUNT;病变大小:LESION_SIZE;肝段:ANAT_LIV_SEG;病变部位:LESION_LOC,为确诊或评估病情所做的各种医学检查的类型。,Ancillary Examination Type,影像检查类型,,,,【脱敏更新】东肝实践-肝癌-入院记录
217,LI0000104,687dcdf2260b6d64bd122a293fb15042abb905ae32ab88145125d7ff55e7322e,Yes,"入院记录,现病史","东肝,胸科",检查与检测,检查日期,EXAM_DATE,属性标签,辅助检查类型,,进行上述辅助检查的具体日期。,Examination Date,,,,,【脱敏更新】东肝实践-肝癌-入院记录
221,LI0000105,c2350bda1cc4ebadc64224ea4ef587be2f5bec64505a2c0751857fc2a96ae08f,Yes,入院记录,东肝,检查与检测,辅助检查结果,ANC_EXAM_RESULT,属性标签,辅助检查类型,,上述检查的结果总结。,Ancillary Examination Result,,,,,【脱敏更新】东肝实践-肝癌-入院记录
222,LI0000107,5ab7bdce6332df36e5da97304db1f7975947770c7efb7fec8d55772217ea9cb0,Yes,病理诊断,东肝,检查与检测,标本来源,SPEC_SOURCE,实体标签,,标本大小:SPEC_SIZE;肝段:ANAT_LIV_SEG,描述病理检查中使用的标本的来源位置或器官。,Specimen Source,解剖学部位,,,,【更新】东肝实践-肝癌-病理诊断
223,LI0000108,a6a1dc156ab18f5431e016af2e1abb736e88314ecd2a2cfec1e14ccd0b4fb523,Yes,病理诊断,东肝,检查与检测,标本大小,SPEC_SIZE,属性标签,标本来源,,指病理标本在不同维度上的尺寸，通常包括横径和纵径。,Specimen Size,,,,,【更新】东肝实践-肝癌-病理诊断
227,LI0000111,be979c51fa3bcefce9d931e9fb35981c884caaf5c08aca839716ac110075451f,Yes,病理检查,东肝,健康问题与诊断,肝硬化情况,CIRRHOSIS_COND,实体标签,,,描述肝脏硬化的类型，如有无、大结节型、小结节型等。,Cirrhosis Condition,,,,,【更新】东肝实践-肝癌-病理诊断
228,LI0000112,ad5b64add9f9ef22a480c9a37f5aaaa96d7186c6f099d6c04d8c608d94c6c7c0,Yes,病理检查,东肝,健康问题与诊断,肝炎分期分级,HEP_STAGING,实体标签,,,评估慢性肝炎的严重程度。,Hepatitis Staging and Grading,,,,,【更新】东肝实践-肝癌-病理诊断
229,LI0000113,30de9fb547a664bfcd733803343e95a4f17ad9a517e896222837c8d0198301a1,Yes,"日常病程,入院记录,手术记录,检查",东肝,健康问题与诊断,静脉曲张部位,VARICES_LOC,属性标签,静脉曲张标志,,描述静脉曲张发生的具体部位（食管、胃底）,Varices Location,,,,,【更新】东肝实践-肝癌-检查
230,LI0000113,30de9fb547a664bfcd733803343e95a4f17ad9a517e896222837c8d0198301a1,Yes,"日常病程,入院记录,手术记录,检查",东肝,健康问题与诊断,静脉曲张部位,VARICES_LOC,属性标签,静脉曲张标志,,描述静脉曲张发生的具体部位（食管、胃底）,Varices Location,,,,,【脱敏更新】东肝实践-肝癌-入院记录
231,LI0000113,30de9fb547a664bfcd733803343e95a4f17ad9a517e896222837c8d0198301a1,Yes,"日常病程,入院记录,手术记录,检查",东肝,健康问题与诊断,静脉曲张部位,VARICES_LOC,属性标签,静脉曲张标志,,描述静脉曲张发生的具体部位（食管、胃底）,Varices Location,,,,,【脱敏更新】东肝实践-肝癌-日常病程
232,LI0000113,30de9fb547a664bfcd733803343e95a4f17ad9a517e896222837c8d0198301a1,Yes,"日常病程,入院记录,手术记录,检查",东肝,健康问题与诊断,静脉曲张部位,VARICES_LOC,属性标签,静脉曲张标志,,描述静脉曲张发生的具体部位（食管、胃底）,Varices Location,,,,,【脱敏更新】东肝实践-肝癌-手术记录
233,LI0000114,08308211a6c19ca09bf1d8c9478532973ced8ec11b5eeccad8499a828bbc9786,Yes,"日常病程,手术记录,检查",东肝,健康问题与诊断,静脉曲张程度,VARICES_SEVERITY,属性标签,静脉曲张标志,,"评估静脉曲张的严重程度（轻,中,重,未描述）",Varices Severity,,,,,【更新】东肝实践-肝癌-检查
234,LI0000114,08308211a6c19ca09bf1d8c9478532973ced8ec11b5eeccad8499a828bbc9786,Yes,"日常病程,手术记录,检查",东肝,健康问题与诊断,静脉曲张程度,VARICES_SEVERITY,属性标签,静脉曲张标志,,"评估静脉曲张的严重程度（轻,中,重,未描述）",Varices Severity,,,,,【脱敏更新】东肝实践-肝癌-日常病程
235,LI0000114,08308211a6c19ca09bf1d8c9478532973ced8ec11b5eeccad8499a828bbc9786,Yes,"日常病程,手术记录,检查",东肝,健康问题与诊断,静脉曲张程度,VARICES_SEVERITY,属性标签,静脉曲张标志,,"评估静脉曲张的严重程度（轻,中,重,未描述）",Varices Severity,,,,,【脱敏更新】东肝实践-肝癌-手术记录
236,LI0000115,016361529c2e4b1f4ca2b0a401635cfe32511133876727bedbdb4d90bf1188ef,Yes,"手术记录,检查",东肝,健康问题与诊断,肝硬化标志,CIRRHOSIS_IND,实体标签,,,标识是否存在肝硬化。,Cirrhosis Indicator,,,,,【更新】东肝实践-肝癌-检查
237,LI0000115,016361529c2e4b1f4ca2b0a401635cfe32511133876727bedbdb4d90bf1188ef,Yes,"手术记录,检查",东肝,健康问题与诊断,肝硬化标志,CIRRHOSIS_IND,实体标签,,,标识是否存在肝硬化。,Cirrhosis Indicator,,,,,【脱敏更新】东肝实践-肝癌-手术记录
238,LI0000116,21cc4e50eb550c7aab7491a4da568cd7fc702796a0f2d2d0c623c3d8a67fa707,Yes,检查,东肝,健康问题与诊断,门脉高压标志,PH_IND,实体标签,,,标识是否存在门脉高压。,Portal Hypertension Indicator,,,,,【更新】东肝实践-肝癌-检查
239,LI0000117,b0ca930c73b626a18a0ca4debfbe8cba8c0ef28e58071f6e25b2cdc38370414f,Yes,检查,东肝,健康问题与诊断,脾功能亢进标志,HS_IND,实体标签,,,标识是否存在脾功能亢进。,Hyperfunctioning Spleen Indicator,,,,,【更新】东肝实践-肝癌-检查
240,LI0000118,a45ced0050188d98cd4de205bcec60db1ef06363df135c7d96a2a36bab2774d2,Yes,"入院记录,手术记录,检查",东肝,健康问题与诊断,腹水情况,ASCITES_COND,实体标签,,腹水厚度:ASCITES_THICKNESS,描述腹腔内积液的存在与否及严重程度。,Ascites Condition,,,,,【更新】东肝实践-肝癌-检查
